name,date,Geo_Location,country,Host,Tissue_Specimen_Source,access_country
AY278441,1999,"Russia: Astrakhan, Volga delta",Russia,,blood,"AY278441	|	Russia"
AY278442,1999,"Russia: Volgograd, low Volga",Russia,,blood,"AY278442	|	Russia"
AF404757,1998,Italy,Italy,Equus caballus,,"AF404757	|	Italy"
AF317203,1999,Russia: Volgograd,Russia,Homo sapiens,,"AF317203	|	Russia"
AF260969,1996,Romania,Romania,Culex pipiens,,"AF260969	|	Romania"
HQ671707,1999,USA: Connecticut,United States,Culex pipiens,,"HQ671707	|	USA"
MZ605381,1999,USA,United States,Phoenicopterus roseus,,"MZ605381	|	USA"
HQ596519,1999,USA,United States,Corvus,,"HQ596519	|	USA"
HQ671709,2000,USA: Connecticut,United States,Culex pipiens,,"HQ671709	|	USA"
KX547519,2000/09/01,"USA: Westchester Co., NY",United States,Culex,,"KX547519	|	USA"
HQ671712,2000,USA: Connecticut,United States,Culiseta melanura,,"HQ671712	|	USA"
KJ501480,2001,USA,United States,Corvus brachyrhynchos,"kidney, spleen, abdominal cavity","KJ501480	|	USA"
MH170276,2001,"USA: GA, Dekalb County County",United States,Corvus brachyrhynchos,,"MH170276	|	USA"
KJ501379,2001,USA,United States,Cyanocitta cristata,"kidney, spleen, abdominal cavity","KJ501379	|	USA"
KJ501466,2002,USA,United States,Bubo virginianus,"eye, skin","KJ501466	|	USA"
OQ721765,2002/08/07,"USA: Stevens, Minnesota",United States,Corvus,tissue,"OQ721765	|	USA"
HM488180,2002,USA: Illinois,United States,Corvus brachyrhynchos,,"HM488180	|	USA"
KJ501305,2003,USA,United States,Corvus brachyrhynchos,feather,"KJ501305	|	USA"
HM488173,2003,USA: Connecticut,United States,Culex restuans,,"HM488173	|	USA"
HM488138,2003,USA: Connecticut,United States,Culex restuans,,"HM488138	|	USA"
OQ721791,2004/07/13,"USA: Ramsey, Minnesota",United States,,tissue,"OQ721791	|	USA"
HM488145,2004,USA: Connecticut,United States,Aedes vexans,,"HM488145	|	USA"
MH166913,2004,"USA: VA, Norfolk County",United States,Culicidae,,"MH166913	|	USA"
HM488198,2005,USA: Illinois,United States,Culex pipiens,,"HM488198	|	USA"
OQ721114,2005/07/31,"USA: Ramsey, Minnesota",United States,,tissue,"OQ721114	|	USA"
KJ501403,2005,USA,United States,Pelecanus erythrorhynchos,,"KJ501403	|	USA"
KX547607,2006/08/28,"USA: Erie Co., NY",United States,Culex,,"KX547607	|	USA"
MH170239,2006,"USA: CO, Weld County",United States,Culex tarsalis,,"MH170239	|	USA"
OQ721723,2006/08/10,"USA: Sacramento, California",United States,Culex tarsalis,pooled insects,"OQ721723	|	USA"
MH507841,2007/06/20,"USA: Bakersfield,California",United States,Aphelocoma californica,tissue,"MH507841	|	USA"
KJ501168,2007,USA,United States,Culex quinquefasciatus,pooled insects,"KJ501168	|	USA"
MH507608,2007/10/02,"USA: Lakeside,California",United States,Corvus brachyrhynchos,tissue,"MH507608	|	USA"
KX547365,2008/07/30,"USA: Suffolk Co., NY",United States,Cyanocitta cristata,,"KX547365	|	USA"
JF920749,2008,USA: Connecticut,United States,Culex pipiens,,"JF920749	|	USA"
KJ501113,2008,USA,United States,Culex tarsalis,pooled insects,"KJ501113	|	USA"
MH507992,2009/07/15,"USA: Arvin,California",United States,Culex tarsalis,pooled insects,"MH507992	|	USA"
MH507994,2009/07/28,"USA: Bakersfield,California",United States,Culex quinquefasciatus,pooled insects,"MH507994	|	USA"
OQ721175,2009/10/02,"USA: Yolo, California",United States,Aphelocoma californica,tissue,"OQ721175	|	USA"
MH507769,2010/08/12,"USA: Hanford,California",United States,Culex tarsalis,pooled insects,"MH507769	|	USA"
KY782122,2010/09/03,"USA: Illinois, West Chicago suburbs",United States,Culex,,"KY782122	|	USA"
MH508009,2010/08/18,"USA: Arvin,California",United States,Culex tarsalis,pooled insects,"MH508009	|	USA"
KJ501201,2011,USA,United States,Culex quinquefasciatus,pooled insects,"KJ501201	|	USA"
MH508018,2011/07/13,"USA: Bakersfield,California",United States,Culex tarsalis,pooled insects,"MH508018	|	USA"
KX547537,2011/09/27,"USA: Suffolk Co., NY",United States,Culex,,"KX547537	|	USA"
KC333379,2012/06/28,"USA: Houston, Harris Co., Texas",United States,Cyanocitta cristata,,"KC333379	|	USA"
OQ721247,2012/06/14,"USA: Sacramento, California",United States,Culex tarsalis,pooled insects,"OQ721247	|	USA"
MF175814,2012/09/04,USA: Denton Co. TX,United States,Culex quinquefasciatus,,"MF175814	|	USA"
OQ721154,2013/08/26,"USA: Larimer, Colorado",United States,Culex pipiens,pooled insects,"OQ721154	|	USA"
MH507652,2013/09/09,"USA: Santee,California",United States,Corvus brachyrhynchos,tissue,"MH507652	|	USA"
KX547328,2013/07/03,"USA: Rockland Co., NY",United States,Culex,,"KX547328	|	USA"
MH507663,2014/10/28,"USA: San_Diego,California",United States,Accipitridae,tissue,"MH507663	|	USA"
MH507794,2014/06/24,"USA: Notarb,California",United States,Culex tarsalis,pooled insects,"MH507794	|	USA"
OQ721642,2014/08/04,"USA: Larimer, Colorado",United States,Culex tarsalis,pooled insects,"OQ721642	|	USA"
KX547206,2015/08/07,"USA: Chautauqua Co., NY",United States,Culiseta,,"KX547206	|	USA"
OQ721561,2015/09/22,"USA: San Diego, California",United States,Corvus brachyrhynchos,tissue,"OQ721561	|	USA"
MF175833,2015/07/09,USA: Dallas Co. TX,United States,Culex quinquefasciatus,,"MF175833	|	USA"
OQ721251,2016/08/08,"USA: Larimer, Colorado",United States,Culex tarsalis,pooled insects,"OQ721251	|	USA"
OQ721430,2016/08/13,"USA: Van Buren, Iowa",United States,Culex restuans,pooled insects,"OQ721430	|	USA"
OQ721835,2016/08/13,"USA: Polk, Iowa",United States,Culex restuans,pooled insects,"OQ721835	|	USA"
MH507751,2017/08/03,"USA: Danville,California",United States,Corvus brachyrhynchos,tissue,"MH507751	|	USA"
OQ721226,2017/07/31,"USA: EBR, Louisiana",United States,Culex quinquefasciatus,pooled insects,"OQ721226	|	USA"
OM202909,2017,USA,United States,Homo sapiens,,"OM202909	|	USA"
OM202929,2018,USA,United States,Homo sapiens,,"OM202929	|	USA"
OQ721369,2018/08/28,"USA: Ascension, Louisiana",United States,Culex quinquefasciatus,pooled insects,"OQ721369	|	USA"
OQ721306,2018/08/16,"USA: Hillsborough, New Hampshire",United States,Culex pipiens,pooled insects,"OQ721306	|	USA"
MN849176,2019/09/01,USA: Washington DC,United States,Aedes albopictus,,"MN849176	|	USA"
ON994909,2019/09/06,"USA: Lexington,MA",United States,Vicugna pacos,,"ON994909	|	USA"
OQ721343,2020/08/24,"USA: Black Hawk, Iowa",United States,Culex restuans,pooled insects,"OQ721343	|	USA"
OQ721475,2020/06/22,"USA: Polk, Iowa",United States,Culex pipiens,pooled insects,"OQ721475	|	USA"
OQ721757,2020/09/03,"USA: Polk, Iowa",United States,Culex pipiens,pooled insects,"OQ721757	|	USA"
ON994910,2021/09/19,"USA: Brandford,CT",United States,Corvus,,"ON994910	|	USA"
OK573263,,USA: MD,United States,Homo sapiens,,"OK573263	|	USA"
MZ595325,,USA,United States,,,"MZ595325	|	USA"
DQ080057,,"USA:Los Angeles, California",United States,Corvus,,"DQ080057	|	USA"
AY268132,2000/08/31,France,France,,,
AY268133,1997/10/25,Tunisia,Tunisia,,,
AY262283,1998/02/26,Kenya,Kenya,,,
AF481864,1998/08/28,Israel,Israel,,,
AF260968,1951/08/31,Egypt,Egypt,,,
